"set_num","name","year","theme_id","num_parts","img_url","description"
"6385891-1","Brick Lab","2021","408","0","https://cdn.rebrickable.com/media/sets/6385891-1.jpg","
Available in flagship LEGO Brand Stores which include the interactive Brick Lab experience.Known locations include:New York City (Rockefeller), New York, United States
"
"6386-1","Police Command Base","1986","67","403","https://cdn.rebrickable.com/media/sets/6386-1.jpg",""
"6386182-1","LEGO Masters Mini Build","2021","599","0","https://cdn.rebrickable.com/media/sets/6386182-1.jpg","
For the black and white variant, see set 6386184-1.Little is currently known about how this set could be acquired with variation between countries. In some countries, the set was a gift to participants, crew and other visitors to the filming set of the LEGO Masters TV show. In other countries, this set was used as a promotional product for the show.Known promotions include:
The Netherlands - Gift with purchases exceeding 55€ from the LEGO Brand Store in Utrecht between October 9 and October 31, 2022 (while supplies lasted)

"
"6386184-1","LEGO Masters Mini Build ‘Black and White Color Variant'","2021","599","0","https://cdn.rebrickable.com/media/sets/6386184-1.jpg","
Available exclusively to participants in the various LEGO Masters television programs airing around the world. Limited edition of 500 sets. Each copy has a sticker attached to the front with the set number.For the full color variant, see set 6386182-1.
"
"6387-1","Coastal Rescue Base","1989","67","374","https://cdn.rebrickable.com/media/sets/6387-1.jpg","
Only available in EU/USA/CAN.
"
"6388-1","Holiday Home with Caravan","1989","67","363","https://cdn.rebrickable.com/media/sets/6388-1.jpg","
Global re-release of the previously European exclusive set 1472-1 from 1987Also known as ""Swiss Chalet""
"
"6389-1","Fire Control Center","1990","67","540","https://cdn.rebrickable.com/media/sets/6389-1.jpg",""
"6390-1","Main Street","1980","67","607","https://cdn.rebrickable.com/media/sets/6390-1.jpg","
Available only in the United States.Re-issued, with global availability, as part of the LEGO Legends series in 2003 as set 10041-1.
"
"639-1","Lots of Extra Basic Bricks, 5+","1997","467","400","https://cdn.rebrickable.com/media/sets/639-1.jpg",""
"6391-1","Cargo Center","1984","67","567","https://cdn.rebrickable.com/media/sets/6391-1.jpg","
EU/USA/CAN and Asia only set.
"
"6392-1","Airport","1985","67","538","https://cdn.rebrickable.com/media/sets/6392-1.jpg",""
"6392262-1","Christmas 4-in-1 Builds","2021","227","0","https://cdn.rebrickable.com/media/sets/6392262-1.jpg","
Available as a gift with purchase during various promotions held in Japan and Taiwan during December 2021.Set is packaged in a zippered bag with printed instructions.
"
